t_date,phase,feature,age_group,n,ic,train_rows,train_label_end_max
2009-02-27,dev,ret_12m,short,34,0.015126050420168066,1796,2009-02-11
2009-02-27,dev,ret_12m,full,39,-0.006477732793522267,1796,2009-02-11
2009-02-27,dev,ret_12m,under12,0,,1796,2009-02-11
2009-02-27,dev,sharpe_12m,all,73,0.3634147846476614,1796,2009-02-11
2009-02-27,dev,sharpe_12m,short,34,0.24644766997708176,1796,2009-02-11
2009-02-27,dev,sharpe_12m,full,39,0.4255060728744939,1796,2009-02-11
2009-02-27,dev,sharpe_12m,under12,0,,1796,2009-02-11
2009-03-31,dev,ret_12m,all,73,0.16910403554239173,1864,2009-03-12
2009-03-31,dev,ret_12m,short,33,0.16644385026737968,1864,2009-03-12
2009-03-31,dev,ret_12m,full,40,0.18968105065666047,1864,2009-03-12
2009-03-31,dev,ret_12m,under12,0,,1864,2009-03-12
2009-03-31,dev,sharpe_12m,all,73,0.31077995804023206,1864,2009-03-12
2009-03-31,dev,sharpe_12m,short,33,0.2650401069518717,1864,2009-03-12
2009-03-31,dev,sharpe_12m,full,40,0.37091932457786125,1864,2009-03-12
2009-03-31,dev,sharpe_12m,under12,0,,1864,2009-03-12
2009-04-30,dev,ret_12m,all,73,0.235190670122177,1934,2009-04-09
2009-04-30,dev,ret_12m,short,32,0.28958944281524923,1934,2009-04-09
2009-04-30,dev,ret_12m,full,41,0.28919860627177707,1934,2009-04-09
2009-04-30,dev,ret_12m,under12,0,,1934,2009-04-09
2009-04-30,dev,sharpe_12m,all,75,0.3454338549075391,1934,2009-04-09
2009-04-30,dev,sharpe_12m,short,34,0.30664629488158895,1934,2009-04-09
2009-04-30,dev,sharpe_12m,full,41,0.4266550522648085,1934,2009-04-09
2009-04-30,dev,sharpe_12m,under12,0,,1934,2009-04-09
2009-05-27,dev,ret_12m,all,75,0.23564722617354195,2004,2009-05-08
2009-05-27,dev,ret_12m,short,33,0.1380347593582888,2004,2009-05-08
2009-05-27,dev,ret_12m,full,42,0.3381411554979338,2004,2009-05-08
2009-05-27,dev,ret_12m,under12,0,,2004,2009-05-08
2009-05-27,dev,sharpe_12m,all,75,0.36955903271692747,2004,2009-05-08
2009-05-27,dev,sharpe_12m,short,33,0.21356951871657756,2004,2009-05-08
2009-05-27,dev,sharpe_12m,full,42,0.506685033627745,2004,2009-05-08
2009-05-27,dev,sharpe_12m,under12,0,,2004,2009-05-08
2009-06-30,dev,ret_12m,all,76,0.2897607655502392,2076,2009-06-09
2009-06-30,dev,ret_12m,short,31,0.13185483870967743,2076,2009-06-09
2009-06-30,dev,ret_12m,full,45,0.35006587615283263,2076,2009-06-09
2009-06-30,dev,ret_12m,under12,0,,2076,2009-06-09
2009-06-30,dev,sharpe_12m,all,80,0.293413033286451,2076,2009-06-09
2009-06-30,dev,sharpe_12m,short,35,0.23389355742296922,2076,2009-06-09
2009-06-30,dev,sharpe_12m,full,45,0.3065876152832674,2076,2009-06-09
2009-06-30,dev,sharpe_12m,under12,0,,2076,2009-06-09
2009-07-31,dev,ret_12m,all,80,0.026441631504922646,2149,2009-07-10
2009-07-31,dev,ret_12m,short,34,0.025210084033613443,2149,2009-07-10
2009-07-31,dev,ret_12m,full,46,0.09700894233734196,2149,2009-07-10
2009-07-31,dev,ret_12m,under12,0,,2149,2009-07-10
2009-07-31,dev,sharpe_12m,all,82,0.08017979778191356,2149,2009-07-10
2009-07-31,dev,sharpe_12m,short,36,0.11943371943371943,2149,2009-07-10
