t_date,phase,status,train_rows,train_funds,train_t_min,train_label_end_max,test_rows,test_funds
2025-04-30,holdout,reserved_holdout,341866,5769,2003-01-29,2025-04-11,4909,4909
2025-05-30,holdout,reserved_holdout,346695,5799,2003-01-29,2025-05-12,4908,4908
2025-06-30,holdout,reserved_holdout,351551,5843,2003-01-29,2025-06-11,4916,4916
2025-07-31,holdout,reserved_holdout,356403,5871,2003-01-29,2025-07-11,4926,4926
2025-08-29,holdout,reserved_holdout,361264,5898,2003-01-29,2025-08-06,4928,4928
2025-09-30,holdout,reserved_holdout,366144,5931,2003-01-29,2025-09-01,4949,4949
2025-10-31,holdout,reserved_holdout,371041,5967,2003-01-29,2025-09-30,4944,4944
2025-11-28,holdout,reserved_holdout,375950,5995,2003-01-29,2025-11-06,4936,4936
2025-12-31,holdout,reserved_holdout,380858,6016,2003-01-29,2025-12-03,4920,4920
2026-01-30,holdout,reserved_holdout,385774,6044,2003-01-29,2025-12-31,4919,4919
2026-02-27,holdout,reserved_holdout,390700,6076,2003-01-29,2026-02-04,4920,4920
